ADDPD xmm1, xmm2/mem128 | 66 0F 58 /r
PSLLDQ xmm, imm8 | 66 0F 73 /7 ib
PSLLQ xmm1, xmm2/mem128 | 66 0F F3 /r
PSLLQ mmx, mmx/mem64 | 0F F3 /r
PSLLQ xmm, imm8 | 66 0F 73 /6 ib
PSLLQ mmx, imm8 | 0F 73 /6 ib
PSLLW xmm1, xmm2/mem128 | 66 0F F1 /r
PSLLW mmx, mmx/mem64 | 0F F1 /r
PSLLW xmm, imm8 | 66 0F 71 /6 ib
PSLLW mmx, imm8 | 0F 71 /6 ib
PSRAD xmm1, xmm2/mem128 | 66 0F E2 /r
PSRAD mmx, mmx/mem64 | 0F E2 /r
PSRAD xmm, imm8 | 66 0F 72 /4 ib
PSRAD mmx, imm8 | 0F 72 /4 ib
PSRAW xmm1, xmm2/mem128 | 66 0F E1 /r
PSRAW mmx, mmx/mem64 | 0F E1 /r
PSRAW xmm, imm8 | 66 0F 71 /4 ib
PSRAW mmx, imm8 | 0F 71 /4 ib
PSRLD xmm1, xmm2/mem128 | 66 0F D2 /r
PSRLD mmx, mmx/mem64 | 0F D2 /r
PSRLD xmm, imm8 | 66 0F 72 /2 ib
PSRLD mmx, imm8 | 0F 72 /2 ib
PSRLDQ xmm, imm8 | 66 0F 73 /3 ib
PSRLQ xmm1, xmm2/mem128 | 66 0F D3 /r
PSRLQ mmx, mmx/mem64 | 0F D3 /r
PSRLQ xmm, imm8 | 66 0F 73 /2 ib
PSRLQ mmx, imm8 | 0F 73 /2 ib
PSRLW xmm1, xmm2/mem128 | 66 0F D1 /r
PSRLW mmx, mmx/mem64 | 0F D1 /r
PSRLW xmm, imm8 | 66 0F 71 /2 ib
PSRLW mmx, imm8 | 0F 71 /2 ib
PSUBB xmm1, xmm2/mem128 | 66 0F F8 /r
PSUBB mmx, mmx/mem64 | 0F F8 /r
PSUBD xmm1, xmm2/mem128 | 66 0F FA /r
PSUBD mmx, mmx/mem64 | 0F FA /r
PSUBQ xmm1, xmm2/mem128 | 66 0F FB /r
PSUBQ mmx, mmx/mem64 | 0F FB /r
PSUBSB xmm1, xmm2/mem128 | 66 0F E8 /r
PSUBSB mmx, mmx/mem64 | 0F E8 /r
PSUBSW xmm1, xmm2/mem128 | 66 0F E9 /r
PSUBSW mmx, mmx/mem64 | 0F E9 /r
PSUBUSB xmm1, xmm2/mem128 | 66 0F D8 /r
PSUBUSB mmx, mmx/mem64 | 0F D8 /r
PSUBUSW xmm1, xmm2/mem128 | 66 0F D9 /r
PSUBUSW mmx, mmx/mem64 | 0F D9 /r
PSUBW xmm1, xmm2/mem128 | 66 0F F9 /r
PSUBW mmx, mmx/mem64 | 0F F9 /r
PUNPCKHBW xmm1, xmm2/mem128 | 66 0F 68 /r
PUNPCKHBW mmx, mmx/mem64 | 0F 68 /r
PUNPCKHDQ xmm1, xmm2/mem128 | 66 0F 6A /r
PUNPCKHDQ mmx, mmx/mem64 | 0F 6A /r
PUNPCKHQDQ xmm1, xmm2/mem128 | 66 0F 6D /r
PUNPCKHWD xmm1, xmm2/mem128 | 66 0F 69 /r
PUNPCKHWD mmx, mmx/mem64 | 0F 69 /r
PUNPCKLBW xmm1, xmm2/mem128 | 66 0F 60 /r
PUNPCKLBW mmx, mmx/mem64 | 0F 60 /r
PUNPCKLDQ xmm1, xmm2/mem128 | 66 0F 62 /r
PUNPCKLDQ mmx, mmx/mem64 | 0F 62 /r
PUNPCKLQDQ xmm1, xmm2/mem128 | 66 0F 6C /r
PUNPCKLWD xmm1, xmm2/mem128 | 66 0F 61 /r
PUNPCKLWD mmx, mmx/mem64 | 0F 61 /r
PXOR xmm1, xmm2/mem128 | 66 0F EF /r
PXOR mmx, mmx/mem64 | 0F EF /r
RCPPS xmm1, xmm2/mem128 | 0F 53 /r
RCPSS xmm1, xmm2/mem32 | F3 0F 53 /r
RSQRTPS xmm1, xmm2/mem128 | 0F 52 /r
RSQRTSS xmm1, xmm2/mem32 | F3 0F 52 /r
SHUFPD xmm1, xmm2/mem128, imm8 | 66 0F C6 /r ib
SHUFPS xmm1, xmm2/mem128, imm8 | 0F C6 /r ib
SQRTPD xmm1, xmm2/mem128 | 66 0F 51 /r
SQRTPS xmm1, xmm2/mem128 | 0F 51 /r
SQRTSD xmm1, xmm2/mem64 | F2 0F 51 /r
SQRTSS xmm1, xmm2/mem32 | F3 0F 51 /r
SUBPD xmm1, xmm2/mem128 | 66 0F 5C /r
SUBPS xmm1, xmm2/mem128 | 0F 5C /r
SUBSD xmm1, xmm2/mem64 | F2 0F 5C /r
SUBSS xmm1, xmm2/mem32 | F3 0F 5C /r
UCOMISD xmm1, xmm2/mem64 | 66 0F 2E /r
UCOMISS xmm1, xmm2/mem32 | 0F 2E /r
UNPCKHPD xmm1, xmm2/mem128 | 66 0F 15 /r
UNPCKHPS xmm1, xmm2/mem128 | 0F 15 /r
UNPCKLPD xmm1, xmm2/mem128 | 66 0F 14 /r
UNPCKLPS xmm1, xmm2/mem128 | 0F 14 /r
XORPD xmm1, xmm2/mem128 | 66 0F 57 /r
XORPS xmm1, xmm2/mem128 | 0F 57 /r
PSHUFW mmx, mmx/mem64, imm8 | 0F 70 /r ib
PSHUFD xmm1, xmm2/mem128, imm8 | 66 0F 70 /r ib
PSHUFLW xmm1, xmm2/mem128, imm8 | F2 0F 70 /r ib
